mm,N,Def 5,Cont
"3,358998963","1009,629639","8,3","33,6"
"3,367598796","1009,770325","8,3","33,6"
"3,375698974","1010,683411","8,3","33,6"
"3,384098805","1009,534607","8,4","33,6"
"3,392298868","1009,996704","8,4","33,6"
"3,4008987","1011,650391","8,4","33,6"
"3,40919888","1010,453857","8,4","33,6"
"3,41739871","1013,596436","8,4","33,7"
"3,425799006","1013,325684","8,5","33,7"
"3,433998836","1012,293274","8,5","33,7"
"3,442598901","1012,218872","8,5","33,7"
"3,450798964","1014,589478","8,5","33,7"
"3,459098911","1014,205078","8,5","33,7"
"3,46729874","1012,759583","8,6","33,7"
"3,475798921","1014,103577","8,6","33,7"
"3,484198985","1014,455322","8,6","33,7"
"3,492398815","1013,808655","8,6","33,7"
"3,500698995","1015,129028","8,6","33,7"
"3,508898824","1015,162598","8,7","33,7"
"3,51749889","1015,421509","8,7","33,8"
"3,525898721","1014,026611","8,7","33,7"
"3,534099016","1014,700256","8,7","33,7"
"3,54239873","1015,380066","8,7","33,8"
"3,55069891","1014,888489","8,8","33,7"
"3,559198858","1014,819031","8,8","33,7"
"3,567498805","1015,374084","8,8","33,8"
"3,575798752","1015,60199","8,8","33,8"
"3,583998814","1015,943909","8,8","33,8"
"3,592398878","1016,726929","8,9","33,8"
"3,600898826","1015,238892","8,9","33,8"
"3,609099122","1016,797363","8,9","33,8"
"3,617498953","1014,188171","8,9","33,7"
"3,625599131","1014,758301","9,0","33,7"
"3,634198963","1016,33551","9,0","33,8"
"3,64249891","1014,934448","9,0","33,7"
"3,650698973","1016,585815","9,0","33,8"
"3,659099037","1016,476746","9,0","33,8"
"3,667298866","1015,653442","9,1","33,8"
"3,675898932","1015,160034","9,1","33,7"
"3,684098761","1017,324768","9,1","33,8"
"3,692398941","1016,331909","9,1","33,8"
"3,700698888","1016,894409","9,1","33,8"
"3,709098952","1017,468933","9,2","33,8"
"3,717599133","1015,07019","9,2","33,7"
"3,725798962","1016,112427","9,2","33,8"
"3,734098909","1015,173218","9,2","33,7"
"3,742298972","1015,559204","9,2","33,8"
"3,750899037","1016,124207","9,3","33,8"
"3,759198984","1016,267212","9,3","33,8"
"3,767399046","1014,758728","9,3","33,7"
"3,775698993","1014,19043","9,3","33,7"
"3,78399894","1015,360474","9,3","33,8"
"3,792598773","1015,611633","9,4","33,8"
"3,800799068","1015,338928","9,4","33,8"
"3,809098782","1015,14093","9,4","33,7"
"3,817299077","1014,802124","9,4","33,7"
"3,825798793","1014,661377","9,4","33,7"
"3,834198857","1015,252808","9,5","33,8"
"3,842398919","1014,956787","9,5","33,7"
"3,850798983","1014,109863","9,5","33,7"
"3,858898928","1013,797668","9,5","33,7"
"3,867598878","1012,880981","9,5","33,7"
"3,875798708","1014,389038","9,6","33,7"
"3,883999003","1013,95343","9,6","33,7"
"3,892398834","1014,203186","9,6","33,7"
"3,900598896","1013,749512","9,6","33,7"
"3,909299079","1013,159668","9,7","33,7"
"3,917498909","1013,904907","9,7","33,7"
"3,925799088","1013,552673","9,7","33,7"
"3,933998918","1012,816772","9,7","33,7"
"3,942398749","1013,292664","9,7","33,7"
"3,95089893","1013,02832","9,8","33,7"
"3,95909876","1012,534668","9,8","33,7"
"3,967498824","1011,713318","9,8","33,6"
"3,975599002","1011,89917","9,8","33,6"
"3,984198835","1011,972046","9,8","33,6"
"3,992498781","1011,943298","9,9","33,6"
"4,000699077","1011,776489","9,9","33,6"
"4,009098675","1011,877686","9,9","33,6"
"4,01729897","1010,24707","9,9","33,6"
"4,025898803","1009,920044","9,9","33,6"
"4,034199215","1009,541016","10,0","33,6"
"4,042398579","1008,151794","10,0","33,5"
"4,050598874","1009,927307","10,0","33,6"
"4,058998938","1009,167908","10,0","33,5"
"4,06749912","1010,147217","10,0","33,6"
"4,075698949","1009,05072","10,1","33,5"
"4,084098548","1009,779053","10,1","33,6"
"4,092298843","1008,011169","10,1","33,5"
"4,100799024","1008,018066","10,1","33,5"
"4,109199088","1007,148315","10,1","33,5"
"4,1172988","1007,080322","10,2","33,5"
"4,125798981","1008,322205","10,2","33,5"
"4,133998811","1007,958923","10,2","33,5"
"4,142599109","1005,709106","10,2","33,4"
"4,150798473","1005,88446","10,2","33,4"
"4,159098886","1007,288574","10,3","33,5"
"4,167299181","1005,890747","10,3","33,4"
"4,175699245","1006,422913","10,3","33,5"
"4,184299078","1006,449341","10,3","33,5"
"4,192298673","1004,259277","10,4","33,4"
"4,200698737","1004,770935","10,4","33,4"
"4,208899032","1005,287231","10,4","33,4"
"4,21749933","1004,732483","10,4","33,4"
"4,225798812","1004,401978","10,4","33,4"
"4,234098758","1003,17572","10,5","33,4"
"4,242399171","1003,459839","10,5","33,4"
"4,250499349","1000,809448","10,5","33,3"
"4,259198833","1003,013184","10,5","33,3"
"4,26749878","1001,787109","10,5","33,3"
"4,275699075","1002,501343","10,6","33,3"
"4,283999022","1000,937195","10,6","33,3"
"4,29239862","1001,530457","10,6","33,3"
"4,300998919","999,6314697","10,6","33,2"
"4,309099097","1002,658325","10,6","33,3"
"4,317399043","1001,245972","10,7","33,3"
"4,325698525","1000,848999","10,7","33,3"
"4,334198706","999,0639648","10,7","33,2"
"4,34259877","1000,007263","10,7","33,2"
"4,350698948","998,0848999","10,7","33,2"
"4,359099012","996,3317261","10,8","33,1"
"4,367298841","996,7662964","10,8","33,1"
"4,375898674","996,980957","10,8","33,1"
"4,384098969","997,0089111","10,8","33,1"
"4,392398916","996,8726807","10,8","33,1"
"4,400598746","995,5222168","10,9","33,1"
"4,40899881","996,2474365","10,9","33,1"
"4,417599108","996,062439","10,9","33,1"
"4,425798937","995,5339966","10,9","33,1"
"4,434098884","994,8865356","10,9","33,1"
"4,442199062","994,6887817","11,0","33,1"
"4,450798895","994,8376465","11,0","33,1"
"4,459098842","993,4688721","11,0","33,0"
"4,467398789","993,4885254","11,0","33,0"
"4,475698735","993,1417236","11,1","33,0"
"4,483899031","992,9029541","11,1","33,0"
"4,49259898","992,5831299","11,1","33,0"
"4,500799276","991,2406616","11,1","33,0"
"4,509098757","991,18396","11,1","33,0"
"4,517299052","989,7037964","11,2","32,9"
"4,525699116","992,0997314","11,2","33,0"
"4,534298949","991,3635864","11,2","33,0"
"4,542398661","989,9370117","11,2","32,9"
"4,550798725","989,0604248","11,2","32,9"
"4,558898903","989,6350098","11,3","32,9"
"4,567499202","989,0609131","11,3","32,9"
"4,575798683","988,5604248","11,3","32,9"
"4,584098629","988,0368652","11,3","32,8"
"4,592399042","988,0025635","11,3","32,8"
"4,600598872","986,4794312","11,4","32,8"
"4,609198704","987,4056396","11,4","32,8"
"4,617398999","984,8247681","11,4","32,7"
"4,625698946","985,7889404","11,4","32,8"
"4,633998893","985,5622559","11,4","32,8"
"4,642398491","985,257019","11,5","32,8"
"4,650898672","985,1746216","11,5","32,8"
"4,659098968","984,3205566","11,5","32,7"
"4,667499032","984,8641357","11,5","32,7"
"4,675598744","983,8539429","11,5","32,7"
"4,684198577","981,9671631","11,6","32,6"
"4,692598641","983,1502075","11,6","32,7"
"4,700798936","981,7359009","11,6","32,6"
"4,709098883","981,5201416","11,6","32,6"
"4,717298712","979,9152832","11,6","32,6"
"4,725998662","980,9638672","11,7","32,6"
"4,73409884","981,1799316","11,7","32,6"
"4,742399253","980,7431641","11,7","32,6"
"4,750598617","979,7546387","11,7","32,6"
"4,759098798","979,8289795","11,8","32,6"
"4,767498862","978,7072144","11,8","32,5"
"4,775798809","978,6636353","11,8","32,5"
"4,784098755","977,3927612","11,8","32,5"
"4,792198933","977,2938232","11,8","32,5"
"4,800798766","976,6536865","11,9","32,5"
"4,809099179","978,0368652","11,9","32,5"
"4,817399125","976,7363281","11,9","32,5"
"4,825698606","975,8445435","11,9","32,4"
"4,833898902","974,5159912","11,9","32,4"
"4,842598852","975,3925781","12,0","32,4"
"4,85069903","973,9292603","12,0","32,4"
"4,859098628","974,7075806","12,0","32,4"
"4,86739904","974,8956299","12,0","32,4"
"4,875698987","972,8312988","12,0","32,3"
"4,88429882","973,4708252","12,1","32,4"
"4,892398532","974,6141357","12,1","32,4"
"4,900798596","973,5993042","12,1","32,4"
"4,908898774","971,5009155","12,1","32,3"
"4,917499073","972,6448364","12,1","32,3"
"4,925798554","972,270813","12,2","32,3"
"4,934098966","972,5172119","12,2","32,3"
"4,942398913","971,5653076","12,2","32,3"
"4,950599208","970,1487427","12,2","32,3"
"4,959199041","969,7030029","12,2","32,2"
"4,967498988","970,2382813","12,3","32,3"
"4,975698817","967,8154297","12,3","32,2"
"4,98399923","969,5648193","12,3","32,2"
"4,992299177","969,2338867","12,3","32,2"
"5,000898544","967,2578125","12,3","32,2"
"5,009098839","969,8321533","12,4","32,2"
"5,017398786","969,3277588","12,4","32,2"
"5,025599081","967,8728638","12,4","32,2"
"5,034198914","967,5507202","12,4","32,2"
"5,04249886","967,3200073","12,5","32,2"
"5,050798807","966,1792603","12,5","32,1"
"5,058999102","965,9615479","12,5","32,1"
"5,067298583","966,1851807","12,5","32,1"
"5,075898882","966,5366821","12,5","32,1"
"5,084098711","963,2564697","12,6","32,0"
"5,092399124","963,8883667","12,6","32,0"
"5,100598488","964,3811646","12,6","32,1"
"5,109098669","964,1977539","12,6","32,1"
"5,11759885","963,1101685","12,6","32,0"
"5,125699028","961,4639282","12,7","32,0"
"5,134099092","962,5401611","12,7","32,0"
"5,142298922","961,5373535","12,7","32,0"
"5,150798637","960,1047363","12,7","31,9"
"5,15909905","961,1687012","12,7","32,0"
"5,167398996","960,8171387","12,8","31,9"
"5,175698943","959,7237549","12,8","31,9"
"5,183898773","961,1015015","12,8","32,0"
"5,192598723","959,4761963","12,8","31,9"
"5,200698901","961,2719727","12,8","32,0"
"5,209098499","957,3638306","12,9","31,8"
"5,217398912","958,9316406","12,9","31,9"
"5,225798975","958,3148193","12,9","31,9"
"5,234299157","959,3197632","12,9","31,9"
"5,242398869","956,7981567","12,9","31,8"
"5,250798933","958,2528076","13,0","31,9"
"5,258899111","957,4261475","13,0","31,8"
"5,267599061","957,6470947","13,0","31,8"
"5,275798891","956,4221191","13,0","31,8"
"5,284098837","956,2712402","13,0","31,8"
